candidate,criterion,score,confidence,note
meridian,vendor_neutrality,0.85,V,"Blueprint is protocol- and pattern-led; no product SKU named in any objective"
meridian,mcp,0.90,V,"MCP is its own domain at 20% of the blueprint"
meridian,architecture,0.80,V,"Agent loops and termination assessed under Domain 2"
meridian,delegation,0.70,V,"Multi-agent coordination assessed, four task statements"
meridian,context,0.60,S,"Covered in the prep guide's syllabus; blueprint wording is vaguer"
meridian,access,1.00,V,"Open registration, no prerequisite, online proctored"
meridian,cost_fit,0.85,V,"USD 195 all-in, under the comfortable figure"
meridian,time_fit,0.70,I,"Vendor says 40h; benchmark suggests 30h given existing MCP work"
meridian,recognition,0.40,S,"Appears in a handful of postings; young credential"
northgate,vendor_neutrality,0.25,V,"Six of nine objectives are Northgate console and SDK mechanics"
northgate,mcp,0.55,V,"Assessed, but through Northgate's own tool-calling wrapper"
northgate,architecture,0.85,V,"Strongest architecture domain of the four"
northgate,delegation,0.80,V,"Explicit multi-agent orchestration domain"
northgate,context,0.75,V,"State and memory assessed as a named objective"
northgate,access,0.70,V,"Prerequisite associate exam, no organisational gate"
northgate,cost_fit,0.35,V,"USD 340 all-in including the prerequisite sitting"
northgate,time_fit,0.30,S,"Prerequisite plus main exam consumes the whole study budget"
northgate,recognition,0.90,V,"Widely named in job postings in the target market"
helios,vendor_neutrality,0.45,V,"About half the blueprint is Helios API mechanics and model economics"
helios,mcp,0.70,V,"Named objective, vendor-independent treatment"
helios,architecture,0.55,S,"Prep materials suggest partial coverage; blueprint is gated"
helios,delegation,0.40,S,"Mentioned, no assessed task statements found"
helios,access,0.90,V,"Open registration, online proctored"
helios,cost_fit,0.60,V,"USD 250 all-in"
helios,time_fit,0.60,I,"No vendor estimate published; inferred from blueprint size"
helios,recognition,0.65,S,"Known within the Helios ecosystem, less so outside it"
tessera,vendor_neutrality,0.95,V,"Entirely protocol-led, no vendor product in scope"
tessera,mcp,0.65,V,"One domain, foundations level only"
tessera,architecture,0.45,V,"Introductory treatment; no termination or planning depth"
tessera,delegation,0.20,V,"Out of scope at foundations level"
tessera,context,0.35,V,"Brief coverage"
tessera,access,1.00,V,"Free, open, self-paced assessment"
tessera,cost_fit,1.00,V,"No fee"
tessera,time_fit,0.95,V,"Vendor estimate 10h; well inside the budget"
tessera,recognition,0.15,I,"No postings found naming it; inferred low"
